Project Title,Project Domain,Secondary Domain,Description,Judge Comments,Score,Project Name,Judge Score
InsightAI 1,Security,Finance / FinTech,A low-latency inference system for multimodal agents in autonomous systems.,Technically ambitious and well-executed.,85,Project Aurora,9.5
ShopSmart 2,Developer Tools / DevEx,Productivity Assistants,A simulation environment for embodied AI agents using Unreal integration.,Excellent technical depth and presentation clarity.,67,OmniPath,8.1
WealthifyAI 3,Developer Tools / DevEx,Security,A medical imaging solution improving early diagnosis through vision transformers.,Well-structured and scalable; good potential for commercialization.,91,SynthMind,8.6
MediMind 4,E‑commerce / Marketplaces,Finance / FinTech,A generative model enabling adaptive speech synthesis for accessibility.,Excellent technical depth and presentation clarity.,70,TerraMind,7.0
AutoMate 5,Finance / FinTech,Healthcare / MedTech,A bioinformatics pipeline leveraging transformers for genome annotation.,A forward-looking idea with solid supporting data.,94,EchoLens,8.6
TrendLens 6,Developer Tools / DevEx,Writing & Content,An interactive 3D environment for generative design and architecture.,A clever solution with measurable environmental benefit.,88,LatticeFlow,9.0
PlanPilot 7,Research & Knowledge,Legal / Compliance,A low-latency inference system for multimodal agents in autonomous systems.,Great clarity in communication and demo flow.,60,EchoLens,6.9
InsightAI 8,Legal / Compliance,QA / Testing / Validation,A graph neural network framework for industrial process optimization.,Solid work with impressive real-world impact.,60,BioForge,9.7
ChatBridge 9,Legal / Compliance,Healthcare / MedTech,A bioinformatics pipeline leveraging transformers for genome annotation.,Strong quantitative results; add qualitative analysis next time.,97,BioForge,7.5
MediMind 10,Customer Support / Helpdesk,Healthcare / MedTech,A real-time object tracking system built on efficient Mamba-style attention.,Well-structured and scalable; good potential for commercialization.,95,SynthMind,8.5
AutoMate 11,E‑commerce / Marketplaces,QA / Testing / Validation,A reinforcement learning setup for optimizing energy efficiency in data centers.,"Strong execution, though UI design feels rushed.",97,HoloFlow,7.5
SecureNest 12,Security,Writing & Content,A low-latency inference system for multimodal agents in autonomous systems.,A forward-looking idea with solid supporting data.,73,Neural Canvas,6.7
TaskFlow 13,Legal / Compliance,E‑commerce / Marketplaces,A dynamic model pruning toolkit that reduces compute costs by 40%.,Minor issues with integration but otherwise very polished.,67,Neural Canvas,9.1
DocuCheck 14,Research & Knowledge,Security,An adaptive fine-tuning pipeline for multilingual reasoning models.,Technically ambitious and well-executed.,62,DeepHarvest,7.8
LearnWise 15,Sales / CRM,QA / Testing / Validation,An automated data labeling assistant powered by instruction-tuned LLMs.,Solid work with impressive real-world impact.,65,BioForge,7.0
WealthifyAI 16,QA / Testing / Validation,Finance / FinTech,A federated learning toolkit improving privacy in healthcare applications.,Comprehensive and technically mature approach.,80,PixelSense,8.4
MediMind 17,Security,Legal / Compliance,A medical imaging solution improving early diagnosis through vision transformers.,Exceeds expectations in creativity and usability.,90,BioForge,7.8
SecureNest 18,Productivity Assistants,Customer Support / Helpdesk,A synthetic data generator for low-resource domain adaptation tasks.,Great clarity in communication and demo flow.,82,TerraMind,8.3
